filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2016_SGHC_187.pdf,[2016] SGHC 187,[2016] SGHC 187,Criminal law – Offences – Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2016_SGHC_187/pdf
2016_SGHC_189.pdf,[2016] SGHC 189,[2016] SGHC 189,Criminal law – Sentencing – Appeals – Harassment on behalf of unlicensed moneylender,Criminal Law,Sentencing,General sentencing principles,Criminal Procedure Code 2010,True,Criminal Law — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_189/pdf
2016_SGHC_170.pdf,[2016] SGHC 170,[2016] SGHC 170,Criminal Law — Statutory Offences — Children and Young Persons Act,Criminal Law,Statutory offences,Children and Young Persons Act,Children and Young Persons Act,True,Criminal Law — Statutory offences — Children and Young Persons Act,https://www.elitigation.sg/gd/gd/2016_SGHC_170/pdf
2016_SGHC_170.pdf,[2016] SGHC 170,[2016] SGHC 170,Criminal Law — Offences — Sexual Penetration of Minor,Criminal Law,Offences,General,Penal Code,True,Criminal Law — Offences,https://www.elitigation.sg/gd/gd/2016_SGHC_170/pdf
2016_SGHC_160.pdf,[2016] SGHC 160,[2016] SGHC 160,Criminal Law – Offences – Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2016_SGHC_160/pdf
2016_SGHC_156.pdf,[2016] SGHC 156,[2016] SGHC 156,Criminal Procedure and Sentencing – Sentencing – Appeals,Criminal Law,Sentencing,Appeals against sentence,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Appeals,https://www.elitigation.sg/gd/gd/2016_SGHC_156/pdf
2016_SGHC_154.pdf,[2016] SGHC 154,[2016] SGHC 154,Criminal Procedure and Sentencing — Sentencing — Rape,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_154/pdf
2016_SGHC_154.pdf,[2016] SGHC 154,[2016] SGHC 154,Criminal Procedure and Sentencing — Sentencing — Aggravated outrage of modesty,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_154/pdf
2016_SGHC_154.pdf,[2016] SGHC 154,[2016] SGHC 154,Criminal Procedure and Sentencing — Sentencing — Criminal intimidation,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_154/pdf
2016_SGHC_150.pdf,[2016] SGHC 150,[2016] SGHC 150,Criminal Law — Statutory offences — Misuse of Drugs Act — Illegal importation of controlled drugs,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_150/pdf
